Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run, Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
N Ryan,P,324,292,3.19,807,773,222,61,3,4,5386,3923,2178,1911,321,158,2795,5714,1.25,0.204
R Johnson,P,303,166,3.29,618,603,100,37,2,3,4135.1,3346,1703,1513,411,190,1497,4875,1.17,0.221
R Clemens,P,354,184,3.12,709,707,118,46,0,0,4916.2,4185,1885,1707,363,159,1580,4672,1.17,0.229
S Carlton,P,329,244,3.22,741,709,254,55,2,2,5217.1,4672,2130,1864,414,53,1833,4136,1.25,0.24
B Blyleven,P,287,250,3.31,692,685,242,60,0,0,4970,4632,2029,1830,430,155,1322,3701,1.2,0.248
T Seaver,P,311,205,2.86,656,647,231,61,1,2,4782.2,3971,1674,1521,380,76,1390,3640,1.12,0.226
D Sutton,P,324,256,3.26,774,756,178,58,5,5,5282.1,4692,2104,1914,472,82,1343,3574,1.14,0.236
G Perry,P,314,265,3.11,777,690,303,53,11,12,5350.1,4938,2128,1846,399,108,1379,3534,1.18,0.245
W Johnson,P,417,279,2.17,802,666,531,110,34,--,5914.1,4913,1902,1424,97,205,1363,3508,1.06,0.227
G Maddux,P,355,227,3.16,744,740,109,35,0,0,5008.1,4726,1981,1756,353,137,999,3371,1.14,0.25
P Niekro,P,318,274,3.35,864,716,245,45,29,33,5404.1,5044,2337,2012,482,123,1809,3342,1.27,0.247
M Scherzer,P,202,102,3.11,431,422,12,5,0,0,2688,2184,1001,930,301,107,703,3199,1.07,0.22
J Verlander,P,244,133,3.24,482,482,26,9,0,0,3163,2654,1235,1139,322,104,880,3198,1.12,0.225
F Jenkins,P,284,226,3.34,664,594,267,49,7,8,4500.2,4142,1853,1669,484,84,997,3192,1.14,0.243
P Martinez,P,219,100,2.93,476,409,46,17,3,3,2827.1,2221,1006,919,239,141,760,3154,1.05,0.214
B Gibson,P,251,174,2.91,528,482,255,56,6,6,3884.1,3279,1420,1258,257,102,1336,3117,1.19,0.228
C Schilling,P,216,146,3.46,569,436,83,20,22,24,3261,2998,1318,1253,347,52,711,3116,1.14,0.243
C Sabathia,P,251,161,3.74,561,560,38,12,0,0,3577.1,3404,1623,1485,382,123,1099,3093,1.26,0.251
J Smoltz,P,213,155,3.33,723,481,53,16,154,169,3473,3074,1391,1284,288,57,1010,3084,1.18,0.237
Z Greinke,P,223,142,3.42,557,515,17,5,1,1,3252.1,3055,1330,1237,342,75,740,2886,1.17,0.247
J Bunning,P,224,184,3.27,591,519,151,40,16,17,3760.1,3433,1527,1366,372,160,1000,2855,1.18,0.242
M Lolich,P,217,191,3.44,586,496,195,41,11,11,3638.1,3366,1537,1390,347,92,1099,2832,1.23,0.246
C Kershaw,P,198,87,2.48,402,399,25,15,0,0,2587,1959,778,712,207,39,629,2816,1,0.209
M Mussina,P,270,153,3.68,537,536,57,23,0,0,3562.2,3460,1559,1458,376,60,785,2813,1.19,0.255
C Young,P,511,316,2.63,906,815,749,76,17,--,7356,7092,3167,2147,138,163,1217,2803,1.13,0.252
F Tanana,P,240,236,3.66,638,616,143,34,1,1,4188.1,4063,1910,1702,448,129,1255,2773,1.27,0.254
D Cone,P,194,126,3.47,450,419,56,22,1,1,2898.2,2504,1222,1116,258,106,1137,2668,1.26,0.232
C Finley,P,200,173,3.85,524,467,63,15,0,0,3197.1,3069,1517,1366,304,76,1332,2610,1.38,0.255
T Glavine,P,305,203,3.54,682,682,56,25,0,0,4413.1,4298,1900,1734,356,66,1500,2607,1.31,0.257
W Spahn,P,363,245,3.09,750,665,382,63,29,--,5243.2,4830,2018,1800,434,42,1434,2583,1.19,0.244
B Feller,P,266,162,3.25,570,484,279,44,21,--,3827,3271,1557,1384,224,60,1764,2581,1.32,0.231
T Keefe,P,342,225,2.62,600,594,554,39,2,--,5049.2,4438,2469,1472,75,98,1233,2564,1.12,0.437
C Hamels,P,163,122,3.43,423,422,17,7,0,0,2698,2424,1103,1027,310,100,767,2560,1.18,0.24
J Koosman,P,222,209,3.36,612,527,140,33,17,17,3839.1,3635,1608,1433,290,71,1198,2556,1.26,0.252
J Vazquez,P,165,160,4.22,450,443,28,8,0,0,2840,2784,1431,1331,373,88,763,2536,1.25,0.255
B Colon,P,247,188,4.12,565,552,38,13,0,0,3461.2,3593,1719,1584,439,64,948,2535,1.31,0.268
F Hern?ndez,P,169,136,3.42,419,418,25,11,0,0,2729.2,2487,1157,1037,264,105,805,2524,1.21,0.242
A Burnett,P,164,157,3.99,435,430,24,10,0,1,2731.1,2519,1328,1210,263,143,1100,2513,1.32,0.246
C Mathewson,P,373,188,2.13,635,551,434,79,29,--,4780.2,4218,1617,1133,89,59,844,2502,1.06,0.236
J Lester,P,200,117,3.66,452,451,15,4,0,0,2740,2610,1215,1114,294,90,892,2488,1.28,0.252
D Drysdale,P,209,166,2.95,518,465,167,49,6,6,3432,3084,1292,1124,280,154,855,2486,1.15,0.239
J Morris,P,254,186,3.9,549,527,175,28,0,0,3824,3567,1815,1657,389,58,1390,2478,1.3,0.247
M Langston,P,179,158,3.97,457,428,81,18,0,1,2962.2,2723,1438,1306,311,46,1289,2464,1.35,0.246
J Kaat,P,283,237,3.45,898,625,180,31,18,20,4530.1,4620,2038,1738,395,122,1083,2461,1.26,0.264
S McDowell,P,141,134,3.17,425,346,103,23,14,16,2492.1,1948,999,879,164,59,1312,2453,1.31,0.215
A Pettitte,P,256,153,3.85,531,521,26,4,0,0,3316,3448,1572,1418,288,55,1031,2448,1.35,0.269
J Moyer,P,269,209,4.25,696,638,33,10,0,0,4074,4231,2076,1926,522,146,1155,2441,1.32,0.268
L Tiant,P,229,172,3.3,573,484,187,49,15,19,3486.1,3075,1400,1280,346,49,1104,2416,1.2,0.236
D Eckersley,P,197,171,3.5,1071,361,100,20,390,390,3285.2,3076,1382,1279,347,75,738,2401,1.16,0.246
K Brown,P,211,144,3.28,486,476,72,17,0,0,3256.1,3079,1357,1185,208,139,901,2397,1.22,0.249
S Koufax,P,165,87,2.76,397,314,137,40,9,--,2324.1,1754,806,713,204,18,817,2396,1.11,0.205
C Hough,P,216,216,3.75,858,440,107,13,61,63,3801.1,3283,1807,1582,383,174,1664,2362,1.3,0.233
R Roberts,P,286,245,3.41,676,609,305,45,25,--,4688.2,4582,1962,1774,505,54,902,2357,1.17,0.255
E Wynn,P,300,244,3.54,691,612,290,49,15,--,4564,4291,2037,1796,338,64,1775,2334,1.33,0.248
R Waddell,P,193,143,2.16,407,340,261,50,5,--,2961.1,2460,1063,711,37,115,803,2316,1.1,0.228
J Marichal,P,243,142,2.89,471,457,244,52,2,2,3507.1,3153,1329,1126,320,40,709,2303,1.1,0.237
J Lackey,P,188,147,3.92,448,446,18,8,0,0,2840.1,2862,1347,1237,319,133,815,2294,1.29,0.262
